ID,Smiles
1,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC(=C(C)C=C3)NC4=NC(=CS4)C5=CC=CN=C5
2,C[S](=O)(=O)C1=CC=C(C(=C1)Cl)C(=O)NC2=CC(=C(Cl)C=C2)C3=NC=CC=C3
3,OC1=CC=C(C=C1)C2=COC3=C(C(=CC(=C3)O)O)C2=O
4,OC(=O)C1=C(O)C=CC(=C1)N=NC2=CC=C(C=C2)[S](=O)(=O)NC3=CC=CC=N3
5,NC(=O)N/N=C/C1=CC=C(O1)[N+]([O-])=O
6,CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)[S](=O)(=O)NC(=O)NC3CCCCC3
7,CN1C(=C(O)C2=C(C=CC=C2)[S]1(=O)=O)C(=O)NC3=NC=C(C)S3
8,CN(C)C1C2C(O)C3C(=C(O)C4=C(C=CC=C4O)C3(C)O)C(=O)C2(O)C(=O)C(=C1O)C(N)=O
9,COC1=CC(=CC=C1O)/C=C/C(O)=C/C(=O)/C=C/C2=CC(=C(O)C=C2)OC
10,O.O.CN(C)C1C2C(O)C3C(=C(O)C2(O)C(=O)C(=C1O)C(N)=O)C(=O)C4=C(O)C=CC=C4C3(C)O
11,O=C(C[S](=O)CC1=CC=CO1)NC\C=C/COC2=CC(=CC=N2)CN3CCCCC3
12,COC1=CC(=CC=C1O)C2OC3=CC(=CC=C3OC2CO)C4OC5=CC(=CC(=C5C(=O)C4O)O)O
13,Cl.CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(=C1O)C(N)=O)C(=O)C4=C(O)C=CC=C4C3(C)O
14,NC1=CC=C(C=C1)[S](=O)(=O)NC2=NC=CS2
15,CC1=CC=C(C=C1)C(=O)C2=CC(=C(O)C(=C2)[N+]([O-])=O)O
16,CC1=C(C2=CC=C(C=C2)[S](N)(=O)=O)C(=NO1)C3=CC=CC=C3
17,OC1=CC=C(C=C1)C(=O)N/N=C/C2=CC=C(O2)[N+]([O-])=O
18,OC(=O)C1=C2C=CC=CC2=NC(=C1)C3=CC=CC=C3
19,CC1=CC=C(C=C1C)N2N=C(C)C(=N/NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(O)=O)/C2=O
20,OC1=CC=CC2=C1C(=O)C3=C(O)C=CC=C3C2=O
21,OC(=O)CCC(=O)NC1=CC=C(C=C1)[S](=O)(=O)NC2=NC=CS2
22,OC(=O)C1=CC(=C(O)C(=C1)O)O
23,CCC(=O)N[S](=O)(=O)C1=CC=C(C=C1)C2=C(C)ON=C2C3=CC=CC=C3
24,O.Cl.Cl.CCO.CC1C2C(O)C3C(N(C)C)C(=C(C(N)=O)C(=O)C3(O)C(=C2C(=O)C4=C(O)C=CC=C14)O)O.CC5C6C(O)C7C(N(C)C)C(=C(C(N)=O)C(=O)C7(O)C(=C6C(=O)C8=C(O)C=CC=C58)O)O
25,CCC(=O)N([Na])[S](=O)(=O)C1=CC=C(C=C1)C2=C(C)ON=C2C3=CC=CC=C3
26,OC1=CC2=C(C=C1)C3(OC(=O)C4=C3C=CC=C4)C5=C(O2)C=C(O)C=C5
27,[Na+].[Na+].[O-][S](=O)(=O)C1=CC2=C(NC(/C2=O)=C\3NC4=C(C=C(C=C4)[S]([O-])(=O)=O)C3=O)C=C1
28,[Na+].CCN1CCN(C(=O)NC(C(=O)NC2C3SCC(=C(N3C2=O)C([O-])=O)CSC4=NN=N[N]4C)C5=CC=C(O)C=C5)C(=O)C1=O
29,Cl.CN(C)C1C2C(O)C3C(=C)C4=CC=CC(=C4C(=O)C3=C(O)C2(O)C(=O)C(=C1O)C(N)=O)O
30,Cl.CN(C)C1C2CC3CC4=C(C(=CC=C4N(C)C)O)C(=O)C3=C(O)C2(O)C(=O)C(=C1O)C(N)=O
31,O.[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O
32,CC1=CC=C(C=C1)S(=O)(=O)C=CC#N
33,C1=NC2=C(N1)C(=S)N=C(N2)N
34,CCN(CC)C(=S)SSC(=S)N(CC)CC
35,C1CNC(=O)C2=C(C1=C3C(=O)NC(=O)N3)C=CN2
